full_address,latitude,longitude,location_type
"121 A WEST 20TH ST, NEW YORK, NY 10011, USA",40.7415406,-73.9949582,ROOFTOP
"121A W 20TH ST, NEW YORK, NY 10011, USA",40.7415406,-73.9949582,ROOFTOP
"14 W 23RD ST, NEW YORK, NY 10010, USA",40.74161,-73.99035889999999,ROOFTOP
"51 E 25TH ST, NEW YORK, NY 10010, USA",40.741963,-73.9861542,ROOFTOP
"51 E 25TH ST FL 4, NEW YORK, NY 10010, USA",40.7419726,-73.9861179,ROOFTOP
"550 1ST AVE, NEW YORK, NY 10016, USA",40.7420165,-73.9736533,GEOMETRIC_CENTER
"530 1ST AVENUE, NEW YORK, NY 10016, USA",40.7420311,-73.9743163,ROOFTOP
"530 1ST AVE, NEW YORK, NY 10016, USA",40.7420311,-73.9743163,ROOFTOP
"530 FIRST AVENUE, NEW YORK, NY 10016, USA",40.7420311,-73.9743163,ROOFTOP
"535 2ND AVE, NEW YORK, NY 10016, USA",40.7421969,-73.9780566,ROOFTOP
"377 PARK AVE S FL 2, NEW YORK, NY 10016, USA",40.7423072,-73.98443999999999,ROOFTOP
"545 1ST AVE, NEW YORK, NY 10016, USA",40.7424439,-73.9749599,ROOFTOP
"333 E 30TH ST APT 3K, NEW YORK, NY 10016, USA",40.7426725,-73.9757055,ROOFTOP
"560 FIRST AVE, HCC-13, NEW YORK, NY 10016, USA",40.7428178,-73.97390469999999,ROOFTOP
"560 FIRST AVENUE, NEW YORK, NY 10016, USA",40.7428178,-73.97390469999999,ROOFTOP
"560 1ST AVE, NEW YORK, NY 10016, USA",40.7428178,-73.97390469999999,ROOFTOP
"1115 BROADWAY FL 10, NEW YORK, NY 10010, USA",40.7429695,-73.9892792,ROOFTOP
"356 W 18TH ST, NEW YORK, NY 10011, USA",40.7430261,-74.00316,ROOFTOP
"1115 BROADWAY FL 12, NEW YORK, NY 10010, USA",40.7430966,-73.9897069,ROOFTOP
"16 W 25TH STREET, NEW YORK, NY 10010, USA",40.7432331,-73.9898663,ROOFTOP
"60 MADISON AVE, NEW YORK, NY 10010, USA",40.7432446,-73.98651509999999,ROOFTOP
"400 E 34TH ST RM 515, NEW YORK, NY 10016, USA",40.7432925,-73.9729025,ROOFTOP
"400 E 34TH ST, NEW YORK, NY 10016, USA",40.7432925,-73.9729025,ROOFTOP
"161 W 22ND ST, NEW YORK, NY 10011, USA",40.7433457,-73.9954565,ROOFTOP
